time,id,output_x,output_y,output_z,lat,lon
2025/1/26 0:01,10033477,6958.5527,7676.2446,1754.6539,36.60895831331167,138.1825333797115
2025/1/26 0:01,10033613,23255.766,5736.018,1908.3319,36.60893367560882,138.18271426490438
2025/1/26 0:01,10033482,6953.7676,8517.885,1745.5621,36.60896589073685,138.18253378584933
2025/1/26 0:01,10033478,8391.03,8611.27,1684.1958,36.60896609856082,138.18254988266625
2025/1/26 0:01,10033541,16047.129,4611.301,1910.8213,36.608926725845464,138.18263317242747
2025/1/26 0:01,10033582,44503.53,4672.082,2323.1348,36.60891474534172,138.1829508972085
2025/1/26 0:01,10033498,23523.277,6067.435,2071.9858,36.608936540813936,138.18271743240857
2025/1/26 0:01,10033756,38469.086,14424.789,2101.8696,36.609005182793325,138.18288885341713
2025/1/26 0:01,10033759,40618.977,16028.837,1796.6399,36.60901867379902,138.18291373107994
2025/1/26 0:01,10033557,25201.822,4714.807,2011.8518,36.60892362732207,138.18273543333922
2025/1/26 0:01,10033542,12311.599,7358.2266,1557.9375,36.60895309444452,138.18259296831548
2025/1/26 0:01,10033594,6463.0938,9066.611,1931.9851,36.6089710456336,138.1825286075086
2025/1/26 0:01,10033493,21762.217,5810.203,1933.9594,36.60893500082673,138.18269763120156
2025/1/26 0:01,10033968,26268.068,7313.821,2136.9526,36.60894655076554,138.18274875627236
2025/1/26 0:01,10033566,32674.27,9001.45,2271.6743,36.60895892029457,138.18282119765863
2025/1/26 0:01,10033481,6502.752,6075.6416,1319.9996,36.60894410747819,138.18252741710702
2025/1/26 0:01,10033664,17281.121,7880.05,2860.1436,36.60895560351035,138.18264873377606
2025/1/26 0:01,10033676,20567.654,11484.438,3147.356,36.608986598563405,138.18268739330938
2025/1/26 0:01,10033642,45935.367,4268.928,2586.0674,36.60891048631923,138.18296666229926
2025/1/26 0:01,10033987,43154.188,3418.8125,2358.1213,36.608904059140066,138.1829351485712
2025/1/26 0:01,10033764,2550.041,11664.997,2951.9436,36.60899615538797,138.18248634033935
2025/1/26 0:01,10033489,17645.986,4628.031,2029.053,36.60892617257238,138.1826510314472
2025/1/26 0:01,10033880,42641.992,7030.0117,2145.7253,36.608936787808204,138.18293140232217
